년도,월,일,요일,관람객수
2022,1,1,토,1043
2022,1,2,일,1084
2022,1,3,월,324
2022,1,4,화,417
2022,1,5,수,349
2022,1,6,목,933
2022,1,7,금,463
2022,1,8,토,1431
2022,1,9,일,1116
2022,1,10,월,367
2022,1,11,화,249
2022,1,12,수,139
2022,1,13,목,1276
2022,1,14,금,224
2022,1,15,토,1433
2022,1,16,일,1262
2022,1,17,월,283
2022,1,18,화,358
2022,1,19,수,240
2022,1,20,목,327
2022,1,21,금,386
2022,1,22,토,1882
2022,1,23,일,2805
2022,1,24,월,746
2022,1,25,화,267
2022,1,26,수,558
2022,1,27,목,476
2022,1,28,금,426
2022,1,29,토,1237
2022,1,30,일,1951
2022,1,31,월,2755
2022,2,1,화,1096
2022,2,2,수,1651
2022,2,3,목,652
2022,2,4,금,374
2022,2,5,토,509
2022,2,6,일,860
2022,2,7,월,275
2022,2,8,화,591
2022,2,9,수,564
2022,2,10,목,704
2022,2,11,금,755
2022,2,12,토,2875
2022,2,13,일,4327
2022,2,14,월,721
2022,2,15,화,2350
2022,2,16,수,282
2022,2,17,목,215
2022,2,18,금,599
2022,2,19,토,2013
2022,2,20,일,1677
2022,2,21,월,364
2022,2,22,화,380
2022,2,23,수,337
2022,2,24,목,656
2022,2,25,금,1254
2022,2,26,토,1947
2022,2,27,일,6364
2022,2,28,월,3653
2022,3,1,화,"4,485"
2022,3,2,수,902
2022,3,3,목,927
2022,3,4,금,614
2022,3,5,토,"2,774"
2022,3,6,일,"4,926"
2022,3,7,월,755
2022,3,8,화,"1,096"
2022,3,9,수,"12,164"
2022,3,10,목,"1,044"
2022,3,11,금,"1,440"
2022,3,12,토,"10,364"
2022,3,13,일,"1,397"
2022,3,14,월,135
2022,3,15,화,"1,287"
2022,3,16,수,"1,520"
2022,3,17,목,"2,283"
2022,3,18,금,556
2022,3,19,토,504
2022,3,20,일,"7,728"
2022,3,21,월,"1,259"
2022,3,22,화,"1,348"
2022,3,23,수,777
2022,3,24,목,"1,079"
2022,3,25,금,"1,185"
2022,3,26,토,"3,615"
2022,3,27,일,"15,630"
2022,3,28,월,"3,633"
2022,3,29,화,"2,389"
2022,3,30,수,670
2022,3,31,목,"1,516"
2022,4,1,금,"3,094"
2022,4,2,토,19080
2022,4,3,일,20368
2022,4,4,월,2616
2022,4,5,화,"2,293"
2022,4,6,수,"2,635"
2022,4,7,목,2425
2022,4,8,금,"5,368"
2022,4,9,토,"22,965"
2022,4,10,일,"24,296"
2022,4,11,월,"6,053"
2022,4,12,화,"4,761"
2022,4,13,수,831
2022,4,14,목,2172
2022,4,15,금,"5,086"
2022,4,16,토,"22,173"
2022,4,17,일,"22,239"
2022,4,18,월,3122
2022,4,19,화,5147
2022,4,20,수,"3,229"
2022,4,21,목,"3,143"
2022,4,22,금,"2,171"
2022,4,23,토,18329
2022,4,24,일,"17,940"
2022,4,25,월,"2,604"
2022,4,26,화,"2,563"
2022,4,27,수,"3,095"
2022,4,28,목,"4,191"
2022,4,29,금,"3,185"
2022,4,30,토,20693
2022,5,1,일,16307
2022,5,2,월,3893
2022,5,3,화,3594
2022,5,4,수,6421
2022,5,5,목,46381
2022,5,6,금,13667
2022,5,7,토,10100
2022,5,8,일,6887
2022,5,9,월,3350
2022,5,10,화,3458
2022,5,11,수,3399
2022,5,12,목,3523
2022,5,13,금,6037
2022,5,14,토,12924
2022,5,15,일,13663
2022,5,16,월,3881
2022,5,17,화,4384
2022,5,18,수,3217
2022,5,19,목,5872
2022,5,20,금,11668
2022,5,21,토,15593
2022,5,22,일,15974
2022,5,23,월,4327
2022,5,24,화,5103
2022,5,25,수,5800
2022,5,26,목,6660
2022,5,27,금,7146
2022,5,28,토,36225
2022,5,29,일,15590
2022,5,30,월,3877
2022,5,31,화,6274
2022,6,1,수,17053
2022,6,2,목,4831
2022,6,3,금,4426
2022,6,4,토,12333
2022,6,5,일,16564
2022,6,6,월,9282
2022,6,7,화,3572
2022,6,8,수,3123
2022,6,9,목,2045
2022,6,10,금,3588
2022,6,11,토,8456
2022,6,12,일,8738
2022,6,13,월,4221
2022,6,14,화,2084
2022,6,15,수,829
2022,6,16,목,2084
2022,6,17,금,2456
2022,6,18,토,6082
2022,6,19,일,7232
2022,6,20,월,1732
2022,6,21,화,1506
2022,6,22,수,1690
2022,6,23,목,430
2022,6,24,금,1439
2022,6,25,토,5193
2022,6,26,일,18829
2022,6,27,월,459
2022,6,28,화,404
2022,6,29,수,239
2022,6,30,목,108
2022,7,1,금,1188
2022,7,2,토,2745
2022,7,3,일,1965
2022,7,4,월,516
2022,7,5,화,459
2022,7,6,수,536
2022,7,7,목,280
2022,7,8,금,743
2022,7,9,토,2469
2022,7,10,일,1722
2022,7,11,월,472
2022,7,12,화,711
2022,7,13,수,149
2022,7,14,목,753
2022,7,15,금,1243
2022,7,16,토,2437
2022,7,17,일,3223
2022,7,18,월,5216
2022,7,19,화,755
2022,7,20,수,774
2022,7,21,목,676
2022,7,22,금,756
2022,7,23,토,10918
2022,7,24,일,3068
2022,7,25,월,1208
2022,7,26,화,833
2022,7,27,수,1005
2022,7,28,목,1014
2022,7,29,금,854
2022,7,30,토,1277
2022,7,31,일,856
2022,8,1,월,1417
2022,8,2,화,938
2022,8,3,수,1286
2022,8,4,목,2637
2022,8,5,금,1023
2022,8,6,토,1584
2022,8,7,일,1697
2022,8,8,월,177
2022,8,9,화,69
2022,8,10,수,875
2022,8,11,목,531
2022,8,12,금,1521
2022,8,13,토,1703
2022,8,14,일,5632
2022,8,15,월,4618
2022,8,16,화,1531
2022,8,17,수,1324
2022,8,18,목,1640
2022,8,19,금,1116
2022,8,20,토,5437
2022,8,21,일,4690
2022,8,22,월,1408
2022,8,23,화,1137
2022,8,24,수,1568
2022,8,25,목,803
2022,8,26,금,1885
2022,8,27,토,16188
2022,8,28,일,14964
2022,8,29,월,917
2022,8,30,화,184
2022,8,31,수,1678
2022,9,1,목,2141
2022,9,2,금,2584
2022,9,3,토,13485
2022,9,4,일,790
2022,9,5,월,55
2022,9,6,화,1340
2022,9,7,수,2223
2022,9,8,목,2057
2022,9,9,금,10663
2022,9,10,토,13924
2022,9,11,일,16246
2022,9,12,월,14399
2022,9,13,화,2526
2022,9,14,수,1606
2022,9,15,목,2073
2022,9,16,금,2332
2022,9,17,토,7960
2022,9,18,일,9012
2022,9,19,월,1905
2022,9,20,화,2651
2022,9,21,수,2964
2022,9,22,목,4536
2022,9,23,금,3468
2022,9,24,토,16093
2022,9,25,일,13925
2022,9,26,월,2946
2022,9,27,화,7608
2022,9,28,수,4835
2022,9,29,목,2630
2022,9,30,금,4460
2022,10,1,토,13785
2022,10,2,일,12071
2022,10,3,월,560
2022,10,4,화,1571
2022,10,5,수,3310
2022,10,6,목,2908
2022,10,7,금,4548
2022,10,8,토,17148
2022,10,9,일,1749
2022,10,10,월,3701
2022,10,11,화,2339
2022,10,12,수,3944
2022,10,13,목,5192
2022,10,14,금,5034
2022,10,15,토,14951
2022,10,16,일,13354
2022,10,17,월,2944
2022,10,18,화,2905
2022,10,19,수,3187
2022,10,20,목,4181
2022,10,21,금,6339
2022,10,22,토,14033
2022,10,23,일,15734
2022,10,24,월,3200
2022,10,25,화,3097
2022,10,26,수,7256
2022,10,27,목,4482
2022,10,28,금,5649
2022,10,29,토,16415
2022,10,30,일,28609
2022,10,31,월,3917
2022,11,1,화,3287
2022,11,2,수,3462
2022,11,3,목,2676
2022,11,4,금,3125
2022,11,5,토,9610
2022,11,6,일,11245
2022,11,7,월,1770
2022,11,8,화,2388
2022,11,9,수,2375
2022,11,10,목,2211
2022,11,11,금,3204
2022,11,12,토,5797
2022,11,13,일,5201
2022,11,14,월,1544
2022,11,15,화,1053
2022,11,16,수,1225
2022,11,17,목,1760
2022,11,18,금,1789
2022,11,19,토,8285
2022,11,20,일,9544
2022,11,21,월,1633
2022,11,22,화,849
2022,11,23,수,4321
2022,11,24,목,1185
2022,11,25,금,1327
2022,11,26,토,22632
2022,11,27,일,3845
2022,11,28,월,333
2022,11,29,화,458
2022,11,30,수,219
2022,12,1,목,239
2022,12,2,금,350
2022,12,3,토,1148
2022,12,4,일,1015
2022,12,5,월,423
2022,12,6,화,290
2022,12,7,수,413
2022,12,8,목,561
2022,12,9,금,530
2022,12,10,토,1995
2022,12,11,일,2079
2022,12,12,월,405
2022,12,13,화,250
2022,12,14,수,142
2022,12,15,목,183
2022,12,16,금,158
2022,12,17,토,423
2022,12,18,일,294
2022,12,19,월,1591
2022,12,20,화,331
2022,12,21,수,276
2022,12,22,목,281
2022,12,23,금,106
2022,12,24,토,380
2022,12,25,일,11398
2022,12,26,월,325
2022,12,27,화,345
2022,12,28,수,442
2022,12,29,목,394
2022,12,30,금,2546
2022,12,31,토,970
2023,1,1,일,1268
2023,1,2,월,365
2023,1,3,화,345
2023,1,4,수,428
2023,1,5,목,439
2023,1,6,금,424
2023,1,7,토,878
2023,1,8,일,1260
2023,1,9,월,542
2023,1,10,화,608
2023,1,11,수,578
2023,1,12,목,960
2023,1,13,금,235
2023,1,14,토,542
2023,1,15,일,499
2023,1,16,월,317
2023,1,17,화,356
2023,1,18,수,356
2023,1,19,목,453
2023,1,20,금,252
2023,1,21,토,795
2023,1,22,일,1146
2023,1,23,월,2810
2023,1,24,화,209
2023,1,25,수,135
2023,1,26,목,288
2023,1,27,금,1206
2023,1,28,토,1930
2023,1,29,일,1210
2023,1,30,월,411
2023,1,31,화,509
2023,2,1,수,500
2023,2,2,목,468
2023,2,3,금,476
2023,2,4,토,2439
2023,2,5,일,2909
2023,2,6,월,779
2023,2,7,화,725
2023,2,8,수,749
2023,2,9,목,906
2023,2,10,금,570
2023,2,11,토,4339
2023,2,12,일,4164
2023,2,13,월,968
2023,2,14,화,884
2023,2,15,수,886
2023,2,16,목,727
2023,2,17,금,1121
2023,2,18,토,2880
2023,2,19,일,2869
2023,2,20,월,811
2023,2,21,화,627
2023,2,22,수,898
2023,2,23,목,1425
2023,2,24,금,1658
2023,2,25,토,3987
2023,2,26,일,5228
2023,2,27,월,3538
2023,2,28,화,3603
2023,3,1,수,7457
2023,3,2,목,768
2023,3,3,금,792
2023,3,4,토,7806
2023,3,5,일,9254
2023,3,6,월,1039
2023,3,7,화,1119
2023,3,8,수,792
2023,3,9,목,632
2023,3,10,금,1533
2023,3,11,토,15428
2023,3,12,일,539
2023,3,13,월,551
2023,3,14,화,1070
2023,3,15,수,914
2023,3,16,목,898
2023,3,17,금,1179
2023,3,18,토,11932
2023,3,19,일,12194
2023,3,20,월,1353
2023,3,21,화,1544
2023,3,22,수,1525
2023,3,23,목,3426
2023,3,24,금,1677
2023,3,25,토,13180
2023,3,26,일,19974
2023,3,27,월,2008
2023,3,28,화,1983
2023,3,29,수,2199
2023,3,30,목,2758
2023,3,31,금,4248
2023,4,1,토,24827
2023,4,2,일,26129
2023,4,3,월,7318
2023,4,4,화,3674
2023,4,5,수,248
2023,4,6,목,859
2023,4,7,금,3409
2023,4,8,토,13460
2023,4,9,일,15723
2023,4,10,월,3076
2023,4,11,화,542
2023,4,12,수,1802
2023,4,13,목,4630
2023,4,14,금,3123
2023,4,15,토,3738
2023,4,16,일,8295
2023,4,17,월,7058
2023,4,18,화,810
2023,4,19,수,4066
2023,4,20,목,2688
2023,4,21,금,5455
2023,4,22,토,14297
2023,4,23,일,14121
2023,4,24,월,3371
2023,4,25,화,1048
2023,4,26,수,3444
2023,4,27,목,7353
2023,4,28,금,5908
2023,4,29,토,13909
2023,4,30,일,17773
2023,5,1,월,18777
2023,5,2,화,3720
2023,5,3,수,4919
2023,5,4,목,6185
2023,5,5,금,1286
2023,5,6,토,941
2023,5,7,일,8043
2023,5,8,월,3305
2023,5,9,화,3769
2023,5,10,수,4410
2023,5,11,목,6468
2023,5,12,금,6220
2023,5,13,토,16168
2023,5,14,일,15901
2023,5,15,월,3859
2023,5,16,화,4721
2023,5,17,수,4850
2023,5,18,목,5966
2023,5,19,금,7478
2023,5,20,토,16102
2023,5,21,일,15214
2023,5,22,월,4135
2023,5,23,화,5286
2023,5,24,수,6226
2023,5,25,목,7652
2023,5,26,금,6831
2023,5,27,토,4392
2023,5,28,일,23283
2023,5,29,월,15771
2023,5,30,화,4358
2023,5,31,수,7039
2023,6,1,목,5057
2023,6,2,금,4943
2023,6,3,토,16661
2023,6,4,일,18113
2023,6,5,월,9332
2023,6,6,화,19754
2023,6,7,수,2314
2023,6,8,목,2180
2023,6,9,금,2712
2023,6,10,토,6621
2023,6,11,일,7252
2023,6,12,월,2158
2023,6,13,화,2238
2023,6,14,수,1942
2023,6,15,목,2030
2023,6,16,금,2162
2023,6,17,토,7570
2023,6,18,일,5725
2023,6,19,월,967
2023,6,20,화,1390
2023,6,21,수,495
2023,6,22,목,2088
2023,6,23,금,1713
2023,6,24,토,5590
2023,6,25,일,3946
2023,6,26,월,375
2023,6,27,화,15950
2023,6,28,수,1011
2023,6,29,목,131
2023,6,30,금,1794
2023,7,1,토,2821
2023,7,2,일,2872
2023,7,3,월,545
2023,7,4,화,419
2023,7,5,수,855
2023,7,6,목,795
2023,7,7,금,834
2023,7,8,토,4459
2023,7,9,일,1053
2023,7,10,월,559
2023,7,11,화,430
2023,7,12,수,923
2023,7,13,목,132
2023,7,14,금,166
2023,7,15,토,1324
2023,7,16,일,1889
2023,7,17,월,851
2023,7,18,화,392
2023,7,19,수,1244
2023,7,20,목,1042
2023,7,21,금,2577
2023,7,22,토,2173
2023,7,23,일,392
2023,7,24,월,1150
2023,7,25,화,12014
2023,7,26,수,1002
2023,7,27,목,1014
2023,7,28,금,900
2023,7,29,토,1549
2023,7,30,일,1459
2023,7,31,월,1290
2023,8,1,화,1032
2023,8,2,수,896
2023,8,3,목,757
2023,8,4,금,715
2023,8,5,토,1009
2023,8,6,일,841
2023,8,7,월,432
2023,8,8,화,437
2023,8,9,수,614
2023,8,10,목,54
2023,8,11,금,400
2023,8,12,토,4591
2023,8,13,일,5847
2023,8,14,월,1573
2023,8,15,화,3626
2023,8,16,수,1430
2023,8,17,목,747
2023,8,18,금,523
2023,8,19,토,1969
2023,8,20,일,2441
2023,8,21,월,615
2023,8,22,화,398
2023,8,23,수,273
2023,8,24,목,588
2023,8,25,금,832
2023,8,26,토,5372
2023,8,27,일,9460
2023,8,28,월,302
2023,8,29,화,203
2023,8,30,수,557
2023,8,31,목,1374
2023,9,1,금,1401
2023,9,2,토,10082
2023,9,3,일,6528
2023,9,4,월,1689
2023,9,5,화,974
2023,9,6,수,1017
2023,9,7,목,1141
2023,9,8,금,1705
2023,9,9,토,8358
2023,9,10,일,9018
2023,9,11,월,1391
2023,9,12,화,1124
2023,9,13,수,716
2023,9,14,목,2969
2023,9,15,금,535
2023,9,16,토,4664
2023,9,17,일,7474
2023,9,18,월,1782
2023,9,19,화,2269
2023,9,20,수,459
2023,9,21,목,3053
2023,9,22,금,3056
2023,9,23,토,13095
2023,9,24,일,15138
2023,9,25,월,1631
2023,9,26,화,374
2023,9,27,수,788
2023,9,28,목,11864
2023,9,29,금,20239
2023,9,30,토,13801
2023,10,1,일,22044
2023,10,2,월,23408
2023,10,3,화,15126
2023,10,4,수,3061
2023,10,5,목,2908
2023,10,6,금,4154
2023,10,7,토,14177
2023,10,8,일,16657
2023,10,9,월,15218
2023,10,10,화,2761
2023,10,11,수,3679
2023,10,12,목,3844
2023,10,13,금,4995
2023,10,14,토,3007
2023,10,15,일,16859
2023,10,16,월,3380
2023,10,17,화,5117
2023,10,18,수,5465
2023,10,19,목,1118
2023,10,20,금,6287
2023,10,21,토,12618
2023,10,22,일,15168
2023,10,23,월,3183
2023,10,24,화,3832
2023,10,25,수,4366
2023,10,26,목,4150
2023,10,27,금,6039
2023,10,28,토,20841
2023,10,29,일,32527
2023,10,30,월,4739
2023,10,31,화,3830
2023,11,1,수,3047
2023,11,2,목,4554
2023,11,3,금,2612
2023,11,4,토,16512
2023,11,5,일,2015
2023,11,6,월,670
2023,11,7,화,1894
2023,11,8,수,2199
2023,11,9,목,1932
2023,11,10,금,2067
2023,11,11,토,4012
2023,11,12,일,3466
2023,11,13,월,734
2023,11,14,화,2941
2023,11,15,수,1223
2023,11,16,목,270
2023,11,17,금,1028
2023,11,18,토,2146
2023,11,19,일,4039
2023,11,20,월,946
2023,11,21,화,1128
2023,11,22,수,1257
2023,11,23,목,903
2023,11,24,금,447
2023,11,25,토,1326
2023,11,26,일,23604
2023,11,27,월,276
2023,11,28,화,607
2023,11,29,수,316
2023,11,30,목,208
2023,12,1,금,277
2023,12,2,토,1150
2023,12,3,일,1590
2023,12,4,월,554
2023,12,5,화,542
2023,12,6,수,318
2023,12,7,목,553
2023,12,8,금,888
2023,12,9,토,5337
2023,12,10,일,5776
2023,12,11,월,119
2023,12,12,화,451
2023,12,13,수,569
2023,12,14,목,171
2023,12,15,금,77
2023,12,16,토,553
2023,12,17,일,5644
2023,12,18,월,624
2023,12,19,화,282
2023,12,20,수,267
2023,12,21,목,102
2023,12,22,금,2823
2023,12,23,토,338
2023,12,24,일,904
2023,12,25,월,732
2023,12,26,화,547
2023,12,27,수,643
2023,12,28,목,518
2023,12,29,금,651
2023,12,30,토,344
2023,12,31,일,950
